
#refazer em casa

CRIM	INDUS	CHAS	NOX	RM	AGE	PTRATIO	MEDV
0.00632	2.31	0	0.538	6	65.2	15.3	24.0
0.02731	7.07	0	0.469	6	78.9	17.8	21.6
0.02729	7.07	0	0.469	7	61.1	17.8	34.7
0.03237	2.18	0	0.458	6	45.8	18.7	33.4
0.06905	2.18	0	0.458	7	54.2	18.7	36.2
0.02985	2.18	0	0.458	6	58.7	18.7	28.7
0.08829	7.87	0	0.524	6	66.6	15.2	22.9
0.14455	7.87	0	0.524	6	96.1	15.2	22.1
0.21124	7.87	0	0.524	5	100.0	15.2	16.5
0.17004	7.87	0	0.524	6	85.9	15.2	18.9
0.22489	7.87	0	0.524	6	94.3	15.2	15.0
0.11747	7.87	0	0.524	6	82.9	15.2	18.9
0.09378	7.87	0	0.524	5	39.0	15.2	21.7
0.62976	8.14	0	0.538	5	61.8	21.0	20.4
0.63796	8.14	0	0.538	6	84.5	21.0	18.2
0.62739	8.14	0	0.538	5	56.5	21.0	19.9
1.05393	8.14	0	0.538	5	29.3	21.0	23.1
0.7842	8.14	0	0.538	5	81.7	21.0	17.5
0.80271	8.14	0	0.538	5	36.6	21.0	20.2
0.7258	8.14	0	0.538	5	69.5	21.0	18.2
1.25179	8.14	0	0.538	5	98.1	21.0	13.6
0.85204	8.14	0	0.538	5	89.2	21.0	19.6
1.23247	8.14	0	0.538	6	91.7	21.0	15.2
0.98843	8.14	0	0.538	5	100.0	21.0	14.5
0.75026	8.14	0	0.538	5	94.1	21.0	15.6
0.84054	8.14	0	0.538	5	85.7	21.0	13.9
0.67191	8.14	0	0.538	5	90.3	21.0	16.6
0.95577	8.14	0	0.538	6	88.8	21.0	14.8
0.77299	8.14	0	0.538	6	94.4	21.0	18.4
1.00245	8.14	0	0.538	6	87.3	21.0	21.0
1.13081	8.14	0	0.538	5	94.1	21.0	12.7
1.35472	8.14	0	0.538	6	100.0	21.0	14.5
1.38799	8.14	0	0.538	5	82.0	21.0	13.2
1.15172	8.14	0	0.538	5	95.0	21.0	13.1
1.61282	8.14	0	0.538	6	96.9	21.0	13.5
0.06417	5.96	0	0.499	5	68.2	19.2	18.9
0.09744	5.96	0	0.499	5	61.4	19.2	20.0
0.08014	5.96	0	0.499	5	41.5	19.2	21.0
